# Hesudhar Corrections File
# Format: incorrect_word|corrected_word
# This file is automatically updated when the database changes
# Last updated: 2025-08-12
# Total entries: 9607

آئينه|آئينہ
آبگونه|آبگونہ
آبگينه|آبگينہ
آبله|آبلہ
آبوهڻ|آبوھڻ
آٻوهڻ|آٻوھڻ
آٻوهو|آٻوھو
آتاهه|آتاھ
آتشڪده|آتشڪدہ
آتلاه|آتلاھ
آتمڪيه|آتمڪيہ
آتڻاه|آتڻاھ
آجها|آجها
آجهاپ|آجهاپ
آجهاپو|آجهاپو
آجهار|آجهار
آجهارڻ|آجهارڻ
آجهانم|آجهانم
آجهرڻ|آجهرڻ
آجهڙڪڻ|آجهڙڪڻ
آجهڙڻآجهڙڻ|آجهڙڻآجهڙڻ
آجهڙيو|آجهڙيو
آجهڪڻ|آجهڪڻ
آجهه|آجهہ
آجهوڇڻ|آجهوڇڻ
آجهوڙو|آجهوڙو
آجهولو|آجهولو
آجهي|آجهي
آچاريه|آچاريہ
آداه|آداھ
آدينه|آدينہ
آذادانه|آذادانہ
آذرڪده|آذرڪدہ
آڌاه|آڌاھ
آڌهي|آڌھي
آڏواهر|آڏواھر
آراڙه|آراڙھ
آراڙهي|آراڙھي
آراسته|آراستہ
آراڪهه|آراڪھہ
آرنگهو|آرنگهو
آرنهن|آرنهن
آره|آرھ
آرهاڙ|آرھاڙ
آرهاڙي|آرھاڙي
آرهڙ|آرھڙ
آروجهيو|آروجهيو
آروگيه|آروگيہ
آروهڻ|آروھڻ
آروهه|آروھہ
آرويه|آرويہ
آريه|آريہ
آزادانه|آزادانہ
آزرده|آزردہ
آزقه|آزقہ
آزهر|آزھر
آزوقه|آزوقہ
آڙاه|آڙاھ
آڙاهه|آڙاهہ
آڙهاڙي|آڙھاڙي
آڙهنگ|آڙھنگ
آڙهه|آڙھہ
آسرنهن|آسرنھن
آسرنهه|آسرنھہ
آسمانه|آسمانہ
آسوده|آسودہ
آسيانه|آسيانہ
آسيه|آسيہ
آشفته|آشفتہ
آشڪاره|آشڪارہ
آصفيه|آصفيہ
آغشته|آغشتہ
آفتابه|آفتابہ
آفريقه|آفريقہ
آڦرلاهڻ|آڦرلاھڻ
آڪاهتو|آڪاھتو
آڪاهه|آڪاھ
آڪاهيو|آڪاھيو
آڪهه|آڪھہ
آگاه|آگاھ
آگاهه|آگاھ
آگاههآگاهي|آگاھآگاھي
آگاهي|آگاھي
آگره|آگرہ
آگهات|آگهات
آگهاتو|آگهاتو
آگهاٽجڻ|آگهاٽجڻ
آگهاٽو|آگهاٽو
آگهار|آگهار
